"semantic_type_id","variant_id","node_label","version_added","version_deprecated","superseded_by","change_note","examples","match_kind","data_type","semantic_family","semantic_type","format_label","data_format","raw_to_stable_transform","stable_format","stable_import_rule","data_format_default_type","data_format_default_family","dd_data_unit","short_desc","detail","validation","default_storage","implemented"
"n0060","n0060-f01","TMP-DAT-n0060-f01","v4","","","","3/15/2019 14:30","genome","temporal","date","timestamp","timestamp","{{ mmddyyyy hh:ii12A }}","{{ as_datetime }}","3/15/2019 14:30","{{ as_datetime }}","{{ yyyymmdd }} iso","{{ yyyymmdd ;; mmddyyyy ;; ddmmyyyy }}","datetime;;timezone","A date plus time of day.","A timestamp resolving to a moment.","timezone declared ;; DST handling","POSIXct","yes"
"n0061","n0061-f01","TMP-TIM-n0061-f01","v4","","","","2:30 PM","genome","temporal","time","clock","clock","{{ hh:ii12A }}","{{ as_clock }}","14:30","{{ as_clock }}","{{ yyyymmdd }} iso","{{ hh:ii24 ;; hh:ii12A }}","hour;;minute","A time of day (no date).","A clock time with no calendar date.","valid h/m/s ;; 12/24-hour convention","hms","yes"
"n0062","n0062-f01","TMP-PER-n0062-f01","v4","","","","FY2019 ;; 2019","mask","temporal","period","year","year","{{ FYyyyy ;; yyyy }}","{{ as_yyyy }}","2019 ;; 2019","{{ as_yyyy }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","calendar or fiscal year","A year.","A calendar or fiscal year.","valid year range ;; convention declared","integer","yes"
"n0063","n0063-f01","TMP-PER-n0063-f01","v4","","","","2019Q1","mask","temporal","period","quarter","quarter","{{ yyyyQq }}","{{ as_quarter }}","2019-Q1","{{ as_quarter }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","calendar or fiscal quarter","A quarter.","A calendar or fiscal quarter.","valid quarter ;; convention declared","yearqtr","no"
"n0064","n0064-f01","TMP-PER-n0064-f01","v4","","","","201903 ;; Mar 2019","mask","temporal","period","month","month","{{ yyyymm ;; Myyyy }}","{{ as_yyyymm }}","2019-03","{{ as_yyyymm }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","calendar month","A calendar month.","A year-month period; drives the monthly calendar graphic.","valid month ;; parsing convention declared","yearmon","yes"
"n0065","n0065-f01","TMP-PER-n0065-f01","v4","","","","2019-07-01 to 2020-06-30","mask","temporal","period","reporting_period","reporting_period","{{ range }}","{{ as_range }}","{{ split:[_start][_end] }}","{{ as_yyyymmdd }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","fiscal or reporting period","A reporting period.","A fiscal or reporting window; split into _start and _end.","start <= end ;; overlap & gap checks","character","no"
"n0066","n0066-f01","TMP-PHA-n0066-f01","v4","","","","23","mask","temporal","phase","hour_of_day","hour_of_day","{{ hh24 }}","{{ as_integer }}","23","{{ as_integer }}","{{ yyyymmdd }} iso","{{ plain }}","hour position 0-23","An hour of the day.","Recurring hour position 0-23.","in range 0-23","integer","no"
"n0067","n0067-f01","TMP-PHA-n0067-f01","v4","","","","Mon","lexicon","temporal","phase","day_of_week","day_of_week","{{ WWW }}","{{ as_ordered }}","1","{{ as_ordered }}","{{ yyyymmdd }} iso","{{ plain }}","weekday position","A day of the week.","Stabilized to numeric 1-7 (week-start declared); name label in dd_f_levels. Drives the day-of-week graphic.","valid weekday ;; week-start convention","ordered factor","no"
"n0068","n0068-f01","TMP-PHA-n0068-f01","v4","","","","Mar","lexicon","temporal","phase","month_of_year","month_of_year","{{ MMM }}","{{ as_ordered }}","3","{{ as_ordered }}","{{ yyyymmdd }} iso","{{ plain }}","month position 1-12","A month of the year.","Stabilized to numeric 1-12 (Jan-Dec); name label in dd_f_levels. Not tied to a year.","in range 1-12","ordered factor","no"
"n0069","n0069-f01","TMP-PHA-n0069-f01","v4","","","","12","mask","temporal","phase","week_of_year","week_of_year","{{ ww }}","{{ as_integer }}","12","{{ as_integer }}","{{ yyyymmdd }} iso","{{ plain }}","week position 1-53","A week of the year.","Recurring ISO/US week number 1-53.","in range 1-53 ;; week-numbering convention","integer","no"
"n0070","n0070-f01","TMP-INT-n0070-f01","v4","","","","2019-01-01 to 2019-12-31","mask","temporal","interval","date_range","date_range","{{ range }}","{{ as_range }}","{{ split:[_start][_end] }}","{{ as_yyyymmdd }}","{{ yyyymmdd }} iso","{{ range }}","date interval","A date range.","A start and end calendar date; split into _start and _end.","two valid dates ;; start <= end","character","yes"
"n0071","n0071-f01","IDN-KEY-n0071-f01","v4","","","","550e8400-e29b-41d4-a716-446655440000","mask","identifier","id","record","record","{{ hash:uuid }}","{{ none }}","550e8400-e29b-41d4-a716-446655440000","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","A record / row key.","A per-row primary key (serial, UUID, slug).","unique ;; non-missing","character","yes"
"n0072","n0072-f01","IDN-KEY-n0072-f01","v4","","","","ENSG00000139618 ;; ORG-001","mask","identifier","id","entity","entity","{{ bio:ensembl ;; A(n)9(n) }}","{{ none }}","ENSG00000139618 ;; ORG-001","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An entity identifier.","Names a real-world entity (accession, ORG-001, gene/protein IDs).","unique within entity domain ;; stable over time","character","yes"
"n0073","n0073-f01","IDN-KEY-n0073-f01","v6","","","administrative split into id-family recipes","12-3456789 ;; 01-2345678","mask","identifier","id","administrative","ein","{{ gov:ein }}","{{ as_ein }}","12-3456789","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An administrative / registry ID.","A government/registry ID; as_ein restores the dropped leading zero and delimiter (the hyphen hardens it).","domain pattern ;; checksum where available ;; preserve leading zeros","character","yes"
"n0073","n0073-f02","IDN-KEY-n0073-f02","v6","","","administrative split into id-family recipes","isbn 0062049879 ;; 978-0-14-044806-1 ;; 4-04-924701-1","mask","identifier","id","administrative","isbn","{{ id:isbn }}","{{ as_isbn }}","9780140448061","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An administrative / registry ID.","A government/registry ID; as_ein restores the dropped leading zero and delimiter (the hyphen hardens it).","domain pattern ;; checksum where available ;; preserve leading zeros","character","yes"
"n0073","n0073-f03","IDN-KEY-n0073-f03","v6","","","administrative split into id-family recipes","10.1000/xyz123 ;; doi:10.1038/nature12373","mask","identifier","id","administrative","doi","{{ id:doi }}","{{ as_doi }}","10.1000/xyz123","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An administrative / registry ID.","A government/registry ID; as_ein restores the dropped leading zero and delimiter (the hyphen hardens it).","domain pattern ;; checksum where available ;; preserve leading zeros","character","yes"
"n0073","n0073-f04","IDN-KEY-n0073-f04","v6","","","administrative split into id-family recipes","0000-0002-1825-0097","mask","identifier","id","administrative","orcid","{{ id:orcid }}","{{ as_orcid }}","0000-0002-1825-0097","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An administrative / registry ID.","A government/registry ID; as_ein restores the dropped leading zero and delimiter (the hyphen hardens it).","domain pattern ;; checksum where available ;; preserve leading zeros","character","yes"
"n0073","n0073-f05","IDN-KEY-n0073-f05","v6","","","administrative split into id-family recipes","2049-3630 ;; 0028-0836","mask","identifier","id","administrative","issn","{{ id:issn }}","{{ as_issn }}","2049-3630","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An administrative / registry ID.","A government/registry ID; as_ein restores the dropped leading zero and delimiter (the hyphen hardens it).","domain pattern ;; checksum where available ;; preserve leading zeros","character","yes"
"n0074","n0074-f01","IDN-KEY-n0074-f01","v4","","","","6037 ;; 06037","mask+lexicon","identifier","id","geographic","geographic","{{ fips:county }}","{{ as_id[prefix:FIPS] }}","FIPS-06037 ;; FIPS-06037","{{ default:character }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","GEOID;;FIPS;;ZIP","A geographic key.","An all-numeric geo code: as_id zero-pads AND prefixes (FIPS-) so it stays character everywhere; prefix also disambiguates 5-digit FIPS from CBSA. dd_is_join_key=TRUE by default.","fixed length ;; preserve leading zeros ;; valid vintage","character","yes"
"n0075","n0075-f01","IDN-KEY-n0075-f01","v4","","","","d41d8cd98f00b204e9800998ecf8427e","mask","identifier","id","hash","hash","{{ hash:md5 }}","{{ none }}","d41d8cd98f00b204e9800998ecf8427e","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","A hash digest.","A content hash used as an identifier (MD5, SHA-256, UUID).","expected length & alphabet ;; algorithm declared","character","yes"
"n0076","n0076-f01","IDN-KEY-n0076-f01","v4","","","","1.4.0 ;; v2","mask","identifier","id","version","version","{{ 9(n).9(n).9(n) }}","{{ none }}","1.4.0 ;; v2","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","A version identifier.","A version or revision tag (semver-style).","valid version syntax ;; monotonicity where expected","character","no"
"n0077","n0077-f01","CPX-COL-n0077-f01","v4","","","","[a, b, c]","mask","structured","collection","list","list","{{ literal }}","{{ none }}","[a, b, c]","{{ as_text }}","{{ literal }}","{{ literal }}","","A list.","A variable-length collection carried in one cell.","member schema ;; cardinality limits","list","no"
"n0078","n0078-f01","CPX-COL-n0078-f01","v4","","","","[[1,2],[3,4]]","mask","structured","collection","array","array","{{ literal }}","{{ none }}","[[1,2],[3,4]]","{{ as_text }}","{{ literal }}","{{ literal }}","dimensions","An array.","A fixed-shape multi-dimensional collection.","dimension & element-type consistency","list","no"
"n0079","n0079-f01","CPX-REC-n0079-f01","v4","","","","{id:1,name:x}","mask","structured","record","object","object","{{ literal }}","{{ none }}","{id:1,name:x}","{{ as_text }}","{{ literal }}","{{ literal }}","record schema","An object.","A schema-bearing record of named fields.","required keys ;; field types","list","no"
"n0080","n0080-f01","CPX-REC-n0080-f01","v4","","","","a=1;b=2","mask","structured","record","key_value","key_value","{{ literal }}","{{ none }}","a=1;b=2","{{ as_text }}","{{ literal }}","{{ literal }}","mapping","A key-value mapping.","A dictionary; [delim:x] separates pairs, [kv:x] splits key from value.","unique keys ;; value-type rules","list","no"
"n0081","n0081-f01","CPX-GEO-n0081-f01","v4","","","","POINT(30 10)","mask","structured","geometry","point","point","{{ literal }}","{{ none }}","POINT(30 10)","{{ as_text }}","{{ literal }}","{{ literal }}","EPSG:4326","A point geometry.","A spatial point; CRS declared.","valid geometry ;; CRS declared","sfc","no"
"n0082","n0082-f01","CPX-GEO-n0082-f01","v4","","","","POLYGON((0 0,1 0,1 1,0 0))","mask","structured","geometry","polygon","polygon","{{ literal }}","{{ none }}","POLYGON((0 0,1 0,1 1,0 0))","{{ as_text }}","{{ literal }}","{{ literal }}","EPSG:4326","A polygon geometry.","A spatial polygon; CRS declared.","valid geometry ;; ring closure ;; CRS declared","sfc","no"
"n0083","n0083-f01","UNK-UNK-n0083-f01","v4","","","","12 ;; N/A ;; foo","none","unknown","unknown","mixed","mixed","{{ literal }}","{{ none }}","12 ;; N/A ;; foo","{{ as_text }}","{{ literal }}","{{ literal }}","","A column with mixed types.","Multiple value types share one column; retained as text, dominant type flagged for review.","identify dominant type ;; flag exceptions","character","no"
"n0084","n0084-f01","UNK-UNK-n0084-f01","v4","","","","2019-13-45","none","unknown","unknown","malformed","malformed","{{ literal }}","{{ none }}","2019-13-45","{{ as_text }}","{{ literal }}","{{ literal }}","","Malformed / parse-failure values.","Values that failed to parse; retained verbatim (literal) for review.","retain source text ;; log parse errors","character","no"
"n0085","n0085-f01","UNK-UNK-n0085-f01","v4","","","","???","none","unknown","unknown","unclassified","unclassified","{{ literal }}","{{ none }}","???","{{ as_text }}","{{ literal }}","{{ literal }}","","Unclassified values.","No confident type; retained as text and profiled.","retain original values ;; do not coerce","character","no"
